Date,MMWR_week,Location,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus
2023-03-29,13,MH,97120,94028,83113,71269,4561
2023-03-29,13,NE,3805552,3778544,3632957,3398673,1111392
2023-03-29,13,IH2,2559965,2544257,2431413,2221391,478068
2023-03-29,13,PW,51906,51780,48963,45166,5672
2023-03-29,13,NJ,19773006,19665643,18944128,17674629,4860141
2023-03-29,13,SC,8641302,8604373,8387023,7954311,2861280
2023-03-29,13,FM,207903,200622,168746,142624,11693
2023-03-29,13,NY,45022977,44760533,43220910,40622747,10952218
2023-03-29,13,NM,4723453,4695036,4518076,4219464,1355590
2023-03-29,13,AR,4859593,4840480,4704261,4422649,1499340
2023-03-29,13,UT,6141905,6087093,5787842,5278143,1291350
2023-03-29,13,IL,26755167,26539944,25423474,23740961,6905201
2023-03-29,13,TN,11272867,11232124,10975038,10452346,3513380
2023-03-29,13,PR,7831141,7819856,7472068,6898000,2045843
2023-03-29,13,SD,1684171,1673372,1609743,1510901,527934
2023-03-29,13,IA,6109344,6067584,5872183,5544831,2001170
2023-03-29,13,HI,3507351,3484460,3345431,3132541,987470
